Curvature,Kepadatan,Bin Tertinggi,Posisi Bin Tertinggi,Label
3.894634,0.039355,21.462067,96.000000,Flat
4.258516,0.030587,21.972471,66.000000,Flat
5.117797,0.016024,22.148182,30.000000,Flat
4.881555,0.018682,20.408575,87.000000,Flat
4.784719,0.018596,20.888229,87.000000,Flat
4.826420,0.018452,20.580730,87.000000,Flat
5.104620,0.017074,20.966564,87.000000,Flat
5.874580,0.017449,21.661165,3.000000,Flat
4.687546,0.021686,20.220909,54.000000,Flat
4.743865,0.022653,21.456032,30.000000,Flat
4.630332,0.024517,20.967430,30.000000,Flat
4.596798,0.024452,20.592421,54.000000,Flat
4.601644,0.027596,21.349117,63.000000,Flat
4.856507,0.022204,21.201942,30.000000,Flat
5.040201,0.020291,21.996023,30.000000,Flat
5.099293,0.021727,22.746101,30.000000,Flat
5.166078,0.021255,22.246832,30.000000,Flat
5.206980,0.019280,22.289705,30.000000,Flat
5.352893,0.018641,22.373623,30.000000,Flat
5.040201,0.020291,21.996023,30.000000,Flat
5.099293,0.021727,22.746101,30.000000,Flat
5.166078,0.021255,22.246832,30.000000,Flat
5.647401,0.016692,21.663832,87.000000,Flat
4.522572,0.033719,21.378923,93.000000,Flat
5.298891,0.018649,21.815630,30.000000,Flat
5.549988,0.019855,20.696058,87.000000,Flat
5.121708,0.019482,20.231653,114.000000,Flat
5.474751,0.017449,19.615097,54.000000,Flat
5.974789,0.015679,21.130161,54.000000,Flat
5.442682,0.017510,20.817043,87.000000,Flat
5.535699,0.016967,20.225924,87.000000,Flat
5.127733,0.015237,21.806950,30.000000,Flat
6.479479,0.011918,19.992403,138.000000,Flat
6.309815,0.012717,20.006268,138.000000,Flat
4.383493,0.028424,22.272762,63.000000,Flat
5.474205,0.019709,20.164349,54.000000,Flat
5.364144,0.021225,20.280891,54.000000,Flat
5.023434,0.022510,20.165596,54.000000,Flat
5.048209,0.022261,20.324160,87.000000,Flat
4.746322,0.022562,20.677540,30.000000,Flat
3.828199,0.029380,21.405737,87.000000,Flat
4.009407,0.028458,21.478624,87.000000,Flat
4.123631,0.029377,20.417969,87.000000,Flat
4.053479,0.038461,22.139545,90.000000,Flat
4.559714,0.028601,21.385019,93.000000,Flat
5.249170,0.022815,21.745562,90.000000,Flat
4.559714,0.028601,21.385019,93.000000,Flat
4.158412,0.037671,21.679010,39.000000,Flat
3.689875,0.034520,21.710255,66.000000,Flat
3.397917,0.043727,21.202421,117.000000,Flat
4.827048,0.025293,21.237156,60.000000,Flat
4.234166,0.034821,22.884289,87.000000,Flat
4.674255,0.027155,21.324039,123.000000,Flat
4.406131,0.031917,21.550097,123.000000,Flat
3.788099,0.040487,21.720308,60.000000,Flat
4.883981,0.022518,21.496759,111.000000,Flat
4.724178,0.031962,21.716606,84.000000,Flat
4.845079,0.030922,21.702885,90.000000,Flat
4.704756,0.029033,22.008930,123.000000,Flat
4.774898,0.028415,21.944368,123.000000,Flat
3.576196,0.046535,21.028553,63.000000,Flat
4.037694,0.037285,22.028442,87.000000,Flat
4.200732,0.030405,21.971420,90.000000,Flat
4.742289,0.020850,21.734638,84.000000,Flat
4.442773,0.032616,21.506018,36.000000,Flat
4.216754,0.037686,21.936363,60.000000,Flat
4.505222,0.029487,21.815449,90.000000,Flat
4.397958,0.032837,21.889832,111.000000,Flat
4.426699,0.025660,21.659542,66.000000,Flat
3.335222,0.052148,21.184952,60.000000,Flat
4.121176,0.034154,22.413570,66.000000,Flat
3.721225,0.046092,21.677544,96.000000,Flat
4.748743,0.028063,21.837618,66.000000,Flat
4.455641,0.028938,22.207003,123.000000,Flat
3.871557,0.033717,21.234856,87.000000,Flat
3.494111,0.043933,20.937677,96.000000,Flat
4.108723,0.032627,21.453362,96.000000,Flat
4.468846,0.031564,21.116119,66.000000,Flat
4.109807,0.035824,22.145298,66.000000,Flat
5.327667,0.019350,21.617746,84.000000,Flat
3.026010,0.053822,21.231766,69.000000,Flat
3.460431,0.039867,21.253063,108.000000,Flat
3.670208,0.043611,22.193844,123.000000,Flat
3.670208,0.043611,22.193844,123.000000,Flat
3.853400,0.041697,21.664957,87.000000,Flat
2.642223,0.067784,21.339455,96.000000,Flat
5.012167,0.024966,23.287033,87.000000,Flat
4.894907,0.028536,22.646540,111.000000,Flat
4.602530,0.022085,23.155634,111.000000,Flat
4.480484,0.035517,21.483982,66.000000,Flat
3.972832,0.042952,21.549603,87.000000,Flat
4.744910,0.029659,21.091440,108.000000,Flat
3.925847,0.033343,21.986965,87.000000,Flat
3.953549,0.037535,20.481447,87.000000,Flat
3.596148,0.047996,22.609617,87.000000,Flat
3.575157,0.053355,21.454931,72.000000,Flat
3.891153,0.036016,19.915827,27.000000,Flat
3.441125,0.046037,22.957457,90.000000,Flat
4.470866,0.031509,21.650740,60.000000,Flat
4.581730,0.031091,21.294201,87.000000,Flat
4.404398,0.031923,21.892614,90.000000,Flat
3.579279,0.041779,21.433304,87.000000,Flat
4.202661,0.032402,21.197332,111.000000,Flat
4.144868,0.038293,20.581303,87.000000,Flat
3.779526,0.043682,21.168139,111.000000,Flat
3.609504,0.051980,22.024723,69.000000,Flat
4.330196,0.028367,22.131382,114.000000,Flat
4.634214,0.022581,22.382069,111.000000,Flat
3.924524,0.034909,21.724318,36.000000,Flat
4.265691,0.028735,21.119637,96.000000,Flat
3.665930,0.036092,21.151430,90.000000,Flat
4.315810,0.036466,21.230831,108.000000,Flat
4.386354,0.025821,21.068283,54.000000,Flat
4.423892,0.026251,21.506485,30.000000,Flat
4.320305,0.026221,21.400251,30.000000,Flat
4.161922,0.027200,21.798372,30.000000,Flat
4.394428,0.025656,21.305965,30.000000,Flat
5.284997,0.022463,22.636438,30.000000,Flat
5.315759,0.020512,23.118599,30.000000,Flat
4.541805,0.032573,21.394529,108.000000,Flat
5.418310,0.020443,23.622545,30.000000,Flat
5.205876,0.022146,23.448042,30.000000,Flat
5.688124,0.017207,23.428991,30.000000,Flat
5.284997,0.022463,22.636438,30.000000,Flat
5.315759,0.020512,23.118599,30.000000,Flat
5.418310,0.020443,23.622545,30.000000,Flat
5.205876,0.022146,23.448042,30.000000,Flat
6.081652,0.011893,21.859583,30.000000,Flat
6.502143,0.010919,21.724325,30.000000,Flat
6.438617,0.011119,22.274086,30.000000,Flat
4.818835,0.022482,22.344786,90.000000,Flat
6.439068,0.011549,21.341007,30.000000,Flat
6.569534,0.010970,22.124878,30.000000,Flat
6.037668,0.013221,20.048952,30.000000,Flat
6.681868,0.011667,20.475073,90.000000,Flat
6.522613,0.012007,20.109486,90.000000,Flat
6.746017,0.011281,19.945721,138.000000,Flat
6.779074,0.011515,20.304110,81.000000,Flat
4.556379,0.023083,20.131962,87.000000,Flat
4.750964,0.023038,20.117929,30.000000,Flat
4.894098,0.022510,20.068378,87.000000,Flat
4.731373,0.030638,20.412697,60.000000,Normal
4.315219,0.030645,21.780111,93.000000,Normal
3.764734,0.039498,20.302605,111.000000,Normal
3.811030,0.032106,21.576878,90.000000,Normal
5.221910,0.023529,21.771439,66.000000,Normal
4.644297,0.028100,22.198624,87.000000,Normal
4.637855,0.028903,21.505341,87.000000,Normal
3.893270,0.042821,21.480217,93.000000,Normal
4.858112,0.028444,20.956293,90.000000,Normal
4.824041,0.026238,20.805038,108.000000,Normal
4.795116,0.027277,21.506794,66.000000,Normal
4.586496,0.026892,21.176962,63.000000,Normal
4.894842,0.025499,22.121838,39.000000,Normal
4.756880,0.026929,20.137260,108.000000,Normal
4.478428,0.030038,20.719654,111.000000,Normal
4.378489,0.029935,21.121689,87.000000,Normal
4.373201,0.036885,21.506931,63.000000,Normal
5.533846,0.017635,19.630188,27.000000,Normal
4.544343,0.034200,22.018904,87.000000,Normal
4.418554,0.032172,21.830475,87.000000,Normal
4.494750,0.029000,19.659122,3.000000,Normal
4.777643,0.022849,22.437569,114.000000,Normal
4.585539,0.026549,20.764040,66.000000,Normal
4.411833,0.032487,21.213989,66.000000,Normal
5.645029,0.016370,20.128326,54.000000,Normal
5.807061,0.017559,20.922575,54.000000,Normal
5.871634,0.016995,20.453804,54.000000,Normal
5.958698,0.017196,21.374380,54.000000,Normal
5.580347,0.017536,20.763680,87.000000,Normal
5.659916,0.017273,21.243116,87.000000,Normal
5.711824,0.017175,20.574772,87.000000,Normal
6.102379,0.013995,20.662514,87.000000,Normal
5.677831,0.020297,21.866903,87.000000,Normal
4.961840,0.018376,20.853592,87.000000,Normal
5.624787,0.021715,21.588997,57.000000,Normal
5.262494,0.016568,21.218464,87.000000,Normal
5.421737,0.015965,20.964235,87.000000,Normal
3.986082,0.034176,22.982180,63.000000,Normal
5.264999,0.023295,21.315943,90.000000,Normal
5.011977,0.026438,22.362097,27.000000,Normal
4.638799,0.023827,21.811993,90.000000,Normal
4.391214,0.033781,21.147797,63.000000,Normal
4.277179,0.033498,21.775940,60.000000,Normal
3.511412,0.038596,21.761597,90.000000,Normal
4.387007,0.030514,21.156162,63.000000,Normal
4.578073,0.032254,21.776794,96.000000,Normal
3.754097,0.037137,20.921257,96.000000,Normal
5.221734,0.023694,22.076233,90.000000,Normal
3.655661,0.052339,20.355350,72.000000,Normal
5.431927,0.021968,21.590700,66.000000,Normal
5.537110,0.023996,21.280455,114.000000,Normal
4.609166,0.032143,22.034603,123.000000,Normal
5.672138,0.013496,22.061762,87.000000,Normal
5.536139,0.014144,22.158875,87.000000,Normal
5.369665,0.014426,21.816647,87.000000,Normal
5.428466,0.014486,21.440327,87.000000,Normal
3.753555,0.039860,21.139217,63.000000,Normal
5.637676,0.013586,21.563965,87.000000,Normal
5.177902,0.017384,21.115112,87.000000,Normal
5.261686,0.016117,21.411072,87.000000,Normal
5.745902,0.018085,19.484995,30.000000,Normal
5.848244,0.017518,19.967766,6.000000,Normal
5.743387,0.017714,19.192509,6.000000,Normal
5.913075,0.017279,19.171391,6.000000,Normal
5.938725,0.016903,20.738049,30.000000,Normal
6.020141,0.015587,21.325285,30.000000,Normal
5.811451,0.017620,20.280796,54.000000,Normal
4.331322,0.030339,20.362549,114.000000,Normal
5.922322,0.017639,21.222248,54.000000,Normal
5.218602,0.022875,22.307970,66.000000,Normal
4.450432,0.032514,21.930029,66.000000,Normal
4.948191,0.028709,20.228947,66.000000,Normal
5.400910,0.021274,21.866430,87.000000,Normal
4.657874,0.034687,22.119179,66.000000,Normal
3.839540,0.035839,22.486792,90.000000,Normal
4.418165,0.030536,22.346090,87.000000,Normal
4.928933,0.020845,21.629065,57.000000,Normal
4.455243,0.031033,22.924822,66.000000,Normal
4.858529,0.027110,21.497099,66.000000,Normal
4.785192,0.027680,21.556385,90.000000,Normal
4.963820,0.027055,22.111877,111.000000,Normal
5.890323,0.019780,21.811897,87.000000,Normal
4.271078,0.029552,21.929527,93.000000,Normal
4.606990,0.022945,20.647793,63.000000,Normal
4.574080,0.029899,20.975842,60.000000,Normal
5.224455,0.024895,21.639469,96.000000,Normal
4.939931,0.026202,20.845501,90.000000,Normal
4.206284,0.030864,20.434914,60.000000,Normal
4.165392,0.034795,20.685581,87.000000,Normal
4.036594,0.039481,20.886711,60.000000,Normal
4.154183,0.034075,21.371037,84.000000,Normal
4.929839,0.021682,21.620865,114.000000,Normal
5.471346,0.023821,20.911860,96.000000,Normal
3.397649,0.043454,21.502069,90.000000,Normal
5.243335,0.022743,22.869688,87.000000,Normal
4.793484,0.027464,21.774523,90.000000,Normal
4.200129,0.035912,19.834545,108.000000,Normal
5.524425,0.019577,21.091221,63.000000,Normal
3.970570,0.031756,21.936327,90.000000,Normal
5.610244,0.020218,20.106083,108.000000,Normal
4.768307,0.024201,21.714449,87.000000,Normal
5.843791,0.017969,20.876995,66.000000,Normal
4.719752,0.026923,21.385077,96.000000,Normal
4.541025,0.027674,22.262165,66.000000,Normal
4.726259,0.025026,20.992153,60.000000,Normal
4.974965,0.026650,21.534542,90.000000,Normal
4.428308,0.024640,21.988636,90.000000,Normal
4.122633,0.039327,21.007137,60.000000,Normal
5.291455,0.020335,20.533678,63.000000,Normal
4.266811,0.029746,20.061344,93.000000,Normal
4.660214,0.027576,20.427118,84.000000,Normal
5.476317,0.021564,21.212458,84.000000,Normal
4.843379,0.027955,20.035585,27.000000,Normal
4.648128,0.022169,22.319210,90.000000,Normal
5.176402,0.026339,22.208147,108.000000,Normal
5.211447,0.025340,22.126234,66.000000,Normal
4.173702,0.034807,20.266344,87.000000,Normal
5.694125,0.016857,21.093336,60.000000,Normal
4.843052,0.029169,21.879612,36.000000,Normal
4.337856,0.025956,20.879524,63.000000,Normal
5.100986,0.023711,21.420540,27.000000,Normal
5.164498,0.023708,21.533182,87.000000,Normal
5.099622,0.029352,21.699802,33.000000,Normal
5.655115,0.021028,21.795998,117.000000,Normal
5.731898,0.020207,20.167330,84.000000,Normal
5.518842,0.024454,21.060219,96.000000,Normal
4.874542,0.023671,22.300625,108.000000,Normal
4.900119,0.019890,21.175180,84.000000,Normal
4.085375,0.033970,22.381294,87.000000,Normal
5.060720,0.020204,22.222187,123.000000,Normal
5.331873,0.020768,20.348488,63.000000,Normal
5.174538,0.021794,20.657780,27.000000,Normal
4.880775,0.026024,22.530830,66.000000,Normal
5.096498,0.025701,20.827713,36.000000,Normal
