Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15,Bin 16,Bin 17,Bin 18,Bin 19,Bin 20,Bin 21,Bin 22,Bin 23,Bin 24,Bin 25,Bin 26,Bin 27,Bin 28,Bin 29,Bin 30,Bin 31,Bin 32,Bin 33,Bin 34,Bin 35,Bin 36,Bin 37,Bin 38,Bin 39,Bin 40,Bin 41,Bin 42,Bin 43,Bin 44,Bin 45,Bin 46,Bin 47,Bin 48,Bin 49,Bin 50,Bin 51,Bin 52,Bin 53,Bin 54,Bin 55,Bin 56,Bin 57,Bin 58,Bin 59,Bin 60,Label
9.648253,18.897457,13.416903,10.354072,10.227791,9.997910,10.612166,10.633854,7.469696,18.919567,14.240465,19.587269,21.091522,20.229792,18.129421,10.671728,10.646776,16.675753,16.651932,20.214125,19.884083,17.920547,21.258337,20.589909,18.224329,13.496395,16.969646,15.355118,20.090277,19.617416,19.524918,20.353743,21.462067,17.038990,13.670847,15.401964,20.151215,20.806635,20.296379,20.226658,19.622164,19.985762,14.859406,13.204910,16.005201,20.082376,13.613552,11.011773,8.345831,8.309851,12.117084,14.062405,12.391901,9.953425,14.164004,11.915180,10.157626,9.655639,8.864008,8.190304,Flat
6.801229,19.138378,13.831644,9.693645,11.368259,7.792778,7.576227,9.221904,7.527834,19.802437,16.614117,18.027071,18.774670,11.460567,6.803402,8.659157,11.101976,16.012375,18.714647,17.370770,20.488110,19.462420,21.972471,20.050070,16.911179,12.816395,18.457737,16.291241,20.561977,19.519238,21.933556,20.972738,20.482929,18.105549,14.040883,15.267182,21.910709,19.717079,21.835320,21.014652,20.973141,17.481314,14.477320,13.886051,17.094666,19.629358,17.437250,11.462110,9.462935,8.820148,13.756423,12.061625,12.629627,9.295925,13.503817,11.577386,11.214635,10.196914,9.127775,6.219940,Flat
4.507304,11.946363,19.107847,11.655156,9.740114,5.888127,1.999999,0.000000,0.000000,11.782193,22.148182,12.122450,13.131876,9.229630,8.712858,4.745082,0.000000,7.127230,19.358065,13.589980,14.917343,19.191410,10.434927,11.015301,8.541800,7.197657,16.611515,17.398418,16.683807,19.967525,18.925594,16.732834,10.835587,8.848089,11.515656,17.439299,14.764582,17.317516,18.776077,19.580709,17.211979,16.697624,8.300123,14.786930,14.442629,12.845425,20.395500,18.479172,16.510502,15.954695,14.689077,10.794477,11.581049,10.327662,12.712421,13.386801,10.835830,8.489058,10.268224,13.487677,Flat
4.905472,17.722103,18.896486,10.271778,9.528000,6.445479,2.064621,0.000000,4.916852,15.317467,19.753620,11.912597,14.211777,9.382629,8.472999,6.438553,0.000000,8.484007,18.155052,12.611452,16.142307,18.265274,11.521093,11.006264,9.073629,8.633421,14.602690,14.386509,17.910625,20.408575,19.345381,18.353130,11.027779,8.528150,11.024581,15.401065,15.383793,16.835144,19.955133,20.298071,17.733248,16.806370,8.678574,14.069126,14.782643,13.389409,20.284105,15.926815,16.186945,16.608727,14.528153,9.570109,11.432915,11.330849,12.492985,13.322856,10.999193,8.988868,9.828248,13.502214,Flat
5.339139,19.218079,17.967522,10.520729,9.892519,6.642144,2.082874,0.000000,4.677873,15.089782,18.279305,11.855818,14.696028,9.699854,8.462377,5.195623,0.000000,8.835328,17.403931,12.841730,15.469602,19.876541,12.440533,10.941938,8.962524,8.526297,14.612307,14.103192,16.801748,20.888229,19.579622,17.599108,11.142512,8.417470,11.418154,15.063457,15.639465,16.825996,19.754683,19.798172,17.563448,17.139030,8.621489,14.218924,14.023450,13.645218,20.460148,15.654825,15.646473,16.630892,14.475584,9.410295,11.900335,11.661643,12.764356,13.340851,12.351146,8.956881,9.795769,13.301628,Flat
4.916811,18.328962,17.523533,10.301674,9.833849,6.573529,2.157094,0.000000,4.665985,14.414959,18.963995,11.526125,14.760509,9.282604,8.400701,5.624516,0.000000,8.386101,17.748419,12.978859,16.089230,18.748537,12.222193,10.664171,9.057587,8.923650,14.847895,14.059151,17.409504,20.580730,19.606485,18.797386,10.972053,8.640779,11.929269,15.360844,15.752685,16.684864,19.984957,20.436056,18.332632,17.247654,8.736583,14.006976,14.418019,13.538630,20.027666,14.930586,16.512447,16.408354,14.355011,9.393332,11.666369,12.558165,12.366430,13.630193,12.380208,8.648873,9.528772,13.465288,Flat
4.663729,18.001490,18.406086,10.384352,10.011349,6.313502,2.285114,0.000000,0.401777,14.606113,19.641960,12.148129,15.192237,9.388867,8.369816,4.916818,0.000000,8.233487,19.386194,12.977938,16.683647,20.105162,12.078775,10.851382,8.812588,8.648550,14.968591,15.436110,18.481754,20.966564,19.806250,17.085743,11.225967,8.271969,11.009207,15.665151,15.449809,16.880571,20.371935,20.181267,17.777308,16.797232,8.171597,13.657022,14.397893,13.163401,20.652817,15.956589,16.269156,16.161449,13.995941,9.310299,11.643461,12.178185,12.712220,13.143967,12.398754,8.494045,9.996020,13.652721,Flat
7.506996,21.661165,11.137350,7.167922,9.421241,9.853450,10.795229,9.498112,6.272100,18.895149,19.131769,16.651339,15.394456,16.253559,10.012587,9.542645,11.051908,13.569853,20.072203,13.435709,21.246883,16.622000,16.750015,16.101406,12.719826,11.040318,18.513515,13.328525,19.517143,19.393143,17.488094,17.733868,13.775403,12.887965,15.339268,16.441650,13.974659,15.198328,12.541640,12.448340,9.307051,12.600187,8.489702,15.996885,12.428230,9.317069,14.237811,9.688803,11.779593,11.404014,6.691974,11.059850,14.033051,10.727517,8.950579,2.704052,0.036404,7.628015,5.764178,10.427670,Flat
0.005466,16.657188,15.432573,10.484411,9.076481,6.230394,3.999999,4.071090,2.898938,13.299023,20.039755,13.777193,11.058147,10.011004,9.256393,10.038102,9.068489,9.091166,20.220909,12.744301,16.858637,18.241117,11.348543,7.606568,10.236307,11.750146,17.955330,15.170461,16.080809,19.062515,17.552834,17.232477,17.434504,11.998775,13.079613,18.672358,15.625902,17.378712,18.746946,15.898035,16.454809,13.459612,9.896090,15.558575,16.481831,13.817678,14.397220,11.723433,9.737643,7.819895,14.142639,10.259972,12.454032,10.031353,15.201811,14.217289,11.560188,10.545777,9.091997,6.802798,Flat
0.122539,16.137177,17.951958,8.885286,10.387827,7.873861,5.656390,1.414213,3.857169,11.450150,21.456032,13.863085,15.214585,11.432213,9.494151,9.389946,8.936058,8.425586,20.913015,13.069538,17.332275,19.894978,16.177391,8.244496,9.842720,10.619028,16.521255,16.332485,16.717485,19.725733,17.561596,17.206484,16.560408,13.942560,11.700453,17.678101,15.149206,18.250917,18.224804,16.017382,15.061306,14.045202,12.146577,13.515358,15.167247,12.427055,12.519705,13.618340,9.716743,8.168409,13.323723,10.047399,12.309872,10.427207,13.833714,10.904373,10.095622,9.935241,8.844397,9.743838,Flat
